@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2020/01/07 23:11:48:851',1,18.20853,144.517517,188.338959,245.825684,0.3,?,?,?
2,'2020/01/07 23:11:48:901',1,18.402958,144.436264,188.067078,246.076721,0.3,?,?,?
3,'2020/01/07 23:11:48:951',1,18.545128,144.129517,187.77478,246.481064,0.3,?,?,?
4,'2020/01/07 23:11:49:001',1,18.657784,144.2491,187.580597,246.489899,0.3,?,?,?
5,'2020/01/07 23:11:49:055',1,18.770437,144.368698,187.386414,246.498749,0.3,?,?,?
6,'2020/01/07 23:11:49:104',1,18.760855,144.801361,187.360901,246.124252,0.3,?,?,?
7,'2020/01/07 23:11:49:159',1,18.830185,144.623795,187.310394,246.436493,0.3,?,?,?
8,'2020/01/07 23:11:49:251',1,18.899513,144.446228,187.259888,246.748734,0.3,?,?,?
9,'2020/01/07 23:11:49:301',1,18.914461,143.974701,187.262604,247.355469,0.3,?,?,?
10,'2020/01/07 23:11:49:351',1,18.965012,143.296768,187.241241,248.197037,0.3,?,?,?
11,'2020/01/07 23:11:49:401',1,19.015562,142.618851,187.219879,249.038605,0.3,?,?,?
12,'2020/01/07 23:11:49:451',1,19.133652,142.290161,187.213333,249.504471,0.3,?,?,?
13,'2020/01/07 23:11:49:502',1,19.147146,141.940445,187.300537,249.973282,0.3,?,?,?
14,'2020/01/07 23:11:49:561',1,19.160641,141.590729,187.387741,250.442108,0.3,?,?,?
15,'2020/01/07 23:11:49:651',1,19.16543,141.481064,187.455414,250.645569,0.3,?,?,?
16,'2020/01/07 23:11:49:701',1,19.170221,141.371414,187.523087,250.849045,0.3,?,?,?
17,'2020/01/07 23:11:49:751',1,19.185932,141.271118,187.526733,251.035233,0.3,?,?,?
18,'2020/01/07 23:11:49:801',1,19.201645,141.170837,187.53038,251.22142,0.3,?,?,?
19,'2020/01/07 23:11:49:853',1,19.217358,141.070541,187.534027,251.407623,0.3,?,?,?
20,'2020/01/07 23:11:49:904',1,19.233068,140.970261,187.537674,251.593811,0.3,?,?,?
21,'2020/01/07 23:11:49:957',1,19.248779,140.869965,187.541321,251.779999,0.3,?,?,?
22,'2020/01/07 23:11:50:010',1,19.152691,140.656479,187.730972,252.083725,0.3,?,?,?
23,'2020/01/07 23:11:50:101',1,19.056601,140.442993,187.920624,252.387451,0.3,?,?,?
24,'2020/01/07 23:11:50:151',1,18.96051,140.229507,188.110275,252.691177,0.3,?,?,?
25,'2020/01/07 23:11:50:201',1,18.864422,140.016022,188.299942,252.994904,0.3,?,?,?
26,'2020/01/07 23:11:50:251',1,18.954319,139.724213,188.255569,253.389053,0.3,?,?,?
27,'2020/01/07 23:11:50:301',1,18.93214,139.740601,188.303757,253.415207,0.3,?,?,?
28,'2020/01/07 23:11:50:351',1,18.90996,139.756973,188.351959,253.44136,0.3,?,?,?
29,'2020/01/07 23:11:50:401',1,18.90996,139.756973,188.351959,253.44136,0.3,?,?,?
30,'2020/01/07 23:11:50:454',1,18.90996,139.756973,188.351959,253.44136,0.3,?,?,?
31,'2020/01/07 23:11:50:507',1,18.90996,139.756973,188.351959,253.44136,0.3,?,?,?
32,'2020/01/07 23:11:50:601',1,18.90996,139.756973,188.351959,253.44136,0.3,?,?,?
33,'2020/01/07 23:11:50:651',1,18.90996,139.756973,188.351959,253.44136,0.3,?,?,?
34,'2020/01/07 23:11:50:701',1,18.659168,140.523102,188.570068,252.573181,0.3,?,?,?
35,'2020/01/07 23:11:50:751',1,18.408375,141.289215,188.788177,251.705002,0.3,?,?,?
36,'2020/01/07 23:11:50:801',1,18.157583,142.055344,189.006271,250.836823,0.3,?,?,?
37,'2020/01/07 23:11:50:851',1,17.889893,142.925751,189.258759,249.903885,0.3,?,?,?
38,'2020/01/07 23:11:50:904',1,17.622204,143.796158,189.51123,248.970932,0.3,?,?,?
39,'2020/01/07 23:11:50:957',1,17.456226,144.521729,189.616806,248.220062,0.3,?,?,?
40,'2020/01/07 23:11:51:012',1,17.22802,145.376892,189.795883,247.322525,0.3,?,?,?
41,'2020/01/07 23:11:51:064',1,16.999813,146.23204,189.974976,246.424988,0.3,?,?,?
42,'2020/01/07 23:11:51:151',1,16.771606,147.087189,190.154053,245.527451,0.3,?,?,?
43,'2020/01/07 23:11:51:201',1,16.543398,147.942352,190.333145,244.629898,0.3,?,?,?
44,'2020/01/07 23:11:51:251',1,16.545544,148.731812,190.376236,243.87468,0.3,?,?,?
45,'2020/01/07 23:11:51:301',1,16.547691,149.521271,190.419327,243.119461,0.3,?,?,?
46,'2020/01/07 23:11:51:351',1,16.543335,150.290848,190.397827,242.395477,0.3,?,?,?
47,'2020/01/07 23:11:51:411',1,16.538979,151.06044,190.376328,241.671509,0.3,?,?,?
48,'2020/01/07 23:11:51:463',1,16.534622,151.830017,190.354813,240.947525,0.3,?,?,?
49,'2020/01/07 23:11:51:515',1,16.493464,151.913559,190.362839,240.889618,0.3,?,?,?
50,'2020/01/07 23:11:51:601',1,16.392403,152.194107,190.42662,240.662277,0.3,?,?,?
